epoch,mean_train_accuracy,mean_train_precision,mean_train_recall,mean_train_f1,mean_test_accuracy,mean_test_precision,mean_test_recall,mean_test_f1
1,0.7368951612903226,0.6801622212912536,0.43418713902584866,0.5183665707635199,0.9102822580645161,0.40483870967741936,0.5,0.4314900153609832
2,0.7963709677419355,0.770215984732114,0.5493856501921018,0.6242419582495963,0.9163306451612904,0.4069892473118279,0.5,0.4403993855606759
3,0.782258064516129,0.7732718894009217,0.48196771866126703,0.5811045171007222,0.9163306451612904,0.4059139784946237,0.5,0.4397849462365592
4,0.8004032258064516,0.8169394225845837,0.5231344820054498,0.6223551168820798,0.9143145161290323,0.3897849462365592,0.5,0.43118279569892476
5,0.8165322580645161,0.8350358422939068,0.5270924363429108,0.6243988219307044,0.9183467741935484,0.41397849462365593,0.5,0.44516129032258067
