mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_max_iter,param_penalty,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,mean_train_score,std_train_score
1.2940410375595093,0.21970652918757075,0.3054254651069641,0.012133596550196146,3.7554011884736247,1000,l2,"{'C': np.float64(3.7554011884736247), 'max_iter': 1000, 'penalty': 'l2'}",0.7681559920310974,0.7693960070610046,0.7695440053939819,0.7692720293998718,0.769092008471489,0.0005489195459513476,9,0.7692906856536865,0.769001305103302,0.7690759897232056,0.7690893411636353,0.7691143304109573,0.00010720350114111993
1.2175965309143066,0.13143096046295666,0.29647964239120483,0.0013105175572532444,1.844347898661638,1000,l2,"{'C': np.float64(1.844347898661638), 'max_iter': 1000, 'penalty': 'l2'}",0.7680839896202087,0.7693840265274048,0.7695479989051819,0.7692480087280273,0.7690660059452057,0.0005768308633568869,46,0.7693013548851013,0.7690053582191467,0.7690626382827759,0.7690706849098206,0.7691100090742111,0.00011330865213781447
1.1993990540504456,0.010978091156573342,0.2940005660057068,0.0016740379537184468,5.9785015794648695,10000,l2,"{'C': np.float64(5.9785015794648695), 'max_iter': 10000, 'penalty': 'l2'}",0.7681040167808533,0.7693920135498047,0.769536018371582,0.769216001033783,0.7690620124340057,0.0005645906759782928,48,0.7693039774894714,0.768997311592102,0.7690586447715759,0.7690799832344055,0.7691099792718887,0.00011604342687205492
1.2714000940322876,0.0981997634643207,0.3102591037750244,0.0066387755306910184,1.5699452033620265,15000,l2,"{'C': np.float64(1.5699452033620265), 'max_iter': 15000, 'penalty': 'l2'}",0.7681319713592529,0.7693960070610046,0.7695559859275818,0.7692480087280273,0.7690829932689667,0.0005597705922059411,28,0.7693120241165161,0.7689986824989319,0.7690533399581909,0.769050657749176,0.7691036760807037,0.000122246906860425
1.4892239570617676,0.4940228059650942,0.2938425540924072,0.0032764276220537077,4.602488919658671,1000,l2,"{'C': np.float64(4.602488919658671), 'max_iter': 1000, 'penalty': 'l2'}",0.7681120038032532,0.7693920135498047,0.7695519924163818,0.7692720293998718,0.7690820097923279,0.0005687717175313694,30,0.7692919969558716,0.7689893245697021,0.7690693140029907,0.7690893411636353,0.7691099941730499,0.00011154325300176732
1.2201447486877441,0.07963065962159849,0.29302501678466797,0.0010691008373753554,6.021150117432088,15000,l2,"{'C': np.float64(6.021150117432088), 'max_iter': 15000, 'penalty': 'l2'}",0.7681120038032532,0.7694000005722046,0.7695479989051819,0.7692880034446716,0.7690870016813278,0.0005704185562393256,18,0.7692999839782715,0.7689880132675171,0.7690600156784058,0.7690853476524353,0.7691083401441574,0.00011626459592426566
1.3265103697776794,0.1677045999517939,0.2953599691390991,0.001816885504587132,0.21584494295802448,10000,l2,"{'C': np.float64(0.21584494295802448), 'max_iter': 10000, 'penalty': 'l2'}",0.7681120038032532,0.7693560123443604,0.7695680260658264,0.7692040205001831,0.7690600156784058,0.0005623949866661701,49,0.7692986726760864,0.7689266800880432,0.7690253257751465,0.7690333127975464,0.7690709978342056,0.00013799415245722898
1.5333840250968933,0.5819943433057226,0.2969380021095276,0.002316537673876396,7.229987722668247,10000,l2,"{'C': np.float64(7.229987722668247), 'max_iter': 10000, 'penalty': 'l2'}",0.7681400179862976,0.7693960070610046,0.7695320248603821,0.7692720293998718,0.769085019826889,0.0005532918802177073,21,0.7693066596984863,0.768992006778717,0.7690640091896057,0.7690920233726501,0.7691136747598648,0.0001172409224724942
1.1541473865509033,0.08574359706782335,0.29359519481658936,0.0020114072362357686,2.1333911067827613,1000,l2,"{'C': np.float64(2.1333911067827613), 'max_iter': 1000, 'penalty': 'l2'}",0.7681319713592529,0.7693840265274048,0.7695479989051819,0.7692440152168274,0.7690770030021667,0.0005561201470143119,38,0.7692973613739014,0.7689853310585022,0.7690746784210205,0.7690719962120056,0.7691073417663574,0.00011544508047500659
1.2414301633834839,0.11157563475359052,0.29796910285949707,0.008079725681983146,6.184815096277165,10000,l2,"{'C': np.float64(6.184815096277165), 'max_iter': 10000, 'penalty': 'l2'}",0.7681559920310974,0.7693960070610046,0.7695199847221375,0.7692880034446716,0.7690899968147278,0.0005454593093648469,13,0.7692919969558716,0.7689933180809021,0.7690759897232056,0.7690946459770203,0.7691139876842499,0.00010962025432998333
1.2414092421531677,0.11084844501148225,0.30041778087615967,0.002937902173668604,5.257564316322378,1000,l2,"{'C': np.float64(5.257564316322378), 'max_iter': 1000, 'penalty': 'l2'}",0.768123984336853,0.7694079875946045,0.769540011882782,0.7692440152168274,0.7690789997577667,0.0005612596841280885,35,0.7692973613739014,0.7690026760101318,0.7690759897232056,0.7690879702568054,0.769115999341011,0.00010968222665274385
1.3000511527061462,0.10247005205890822,0.3006526231765747,0.001579907716848333,2.922291401980419,15000,l2,"{'C': np.float64(2.922291401980419), 'max_iter': 15000, 'penalty': 'l2'}",0.7681800127029419,0.7694119811058044,0.7695959806442261,0.7692599892616272,0.7691119909286499,0.0005510732870795456,1,0.7692946791648865,0.7690093517303467,0.7690613269805908,0.7690733075141907,0.7691096663475037,0.00010948906813546946
1.226391315460205,0.13198145515228304,0.2971802353858948,0.0046115044352856155,4.008609717152555,15000,l2,"{'C': np.float64(4.008609717152555), 'max_iter': 15000, 'penalty': 'l2'}",0.7681040167808533,0.7694000005722046,0.7695279717445374,0.7692440152168274,0.7690690010786057,0.000566135889260409,43,0.7693066596984863,0.7690039873123169,0.7690613269805908,0.7690920233726501,0.769115999341011,0.00011452290222652377
